rank,name,score,mumbers
701,头文字D Final Stage,7.6,278
702,狼雨,7.6,523
703,天才嘉年华BEYOND,7.6,218
704,妄想学生会＊ OAD,7.6,647
705,落叶,7.6,323
706,大雄的天方夜譚,7.7,106
707,风筝,7.6,484
708,科学超电磁炮S,7.5,4355
709,超元气三姐妹 增量中！,7.6,1044
710,鹬,7.7,96
711,记录的地平线,7.5,2202
712,苍穹之法芙娜,7.6,874
713,笨蛋，测验，召唤兽2,7.5,3777
714,犬夜叉 完结篇,7.5,1024
715,魔神英雄传,7.5,993
716,传说巨神伊迪安,7.7,81
717,男子高中生的日常 特典,7.5,669
718,壳中少女 排气,7.5,708
719,玻璃假面,7.6,149
720,鲁邦三世 次元大介的墓标,7.6,146
721,妄想学生会,7.5,3647
722,龙的牙医,7.5,862
